commit,feature name, reference pattern, found pattern
3fedd14818592016f7ffd84dfe134881b3896ecf,ME8100,AVOMF,AVOMF,
84c9dc212ace974acf2ccfc5a97e83796c6385b2,COMEDI_USB_DRIVERS,AVOMF,AVOAF,
4e96fd088cf6fb95ba4b212e5e72bac1e6d34e79,SOC_CAMERA_MT9T031,AVOMF,AVOMF,
6e34b187bc216fc632769fb8b906d3a29ccd8f14,SENSORS_LTC4245,AVOMF,AVOMF,
c2e591fcb7aa5300cf6967edb29960628cf1831d,DVB_S921,AVOMF,AVOMF,
f71f11ed46df2f29daf928eb5fd8c6c2d1455f36,DVB_LGDT3304,AVOMF,AVOMF,
47a72688fae7298e1ad5fdc9bff7e04b6a549620,MTD_VMU,AVOMF,AVOMF,
9c3c133b1ed6e6d01bfabb6de29bf3d0f0886354,HW_RANDOM_TIMERIOMEM,AVOMF,AVOMF,
ac2dd0f110d5ab0359de7786e88e9971954ac7ee,LEDS_DAC124S085,AVOMF,AVOMF,
3bcfa9e47a7d1be6faef3be6c4b2049e585e2f38,SENSORS_G760A,AVOMF,AVOMF,
a66098daacee2f354dab311b58011e7076aa248c,MWL8K,AVOMF,AVOMF,
7377226c344a7295a7573dce400ce9ddd42f0ca4,SND_PXA2XX_SOC_MAGICIAN,AVOMF,AVOMF,
3f866fbd52d1863db5c07700e560aef22c4fdc01,DRAGONRISE_FF,AVOMF,AVOMF,
ea149b36c7f511d17dd89fee734cb09778a91fa0,X86_MCE_INJECT,AVOMF,AVOMF,
6ffee43ecf8bfbe0bd74c9084c9772a59097d53b,SND_MPC52xx_SOC_EFIKA,AVOMF,AVOMF,
20d0e1520ed1ba8aad05f416245446de0f7ec4bb,SND_SOC_MPC5200_AC97,AVOMF,AVOMF,
e86435eb91b2bff114c5a02e46e16ce21b647ebe,ACERHDF,AVOMF,AVOMF,
4510d7cb8b4e7d389652b8a4f89fad469a5ecc92,USB_NET_INT51X1,AVOMF,AVOMF,
87cf65601e1709e57f7e28f0f7b3eb0a992c1782,USB_CDC_PHONET,AVOMF,AVOMF,
55f4fa4e33e90c6b25b4c8ed038392a73b654fef,REGULATOR_MAX1586,AVOMF,AVOMF,
39549eef3587f1c1e8c65c88a2400d10fd30ea17,CAN_DEV,AVOMF,AVOMF,
14412acde5b57450b8afb3d4b03132419b6abebf,SND_S3C24XX_SOC_SIMTEC_TLV320AIC23,AVOMF,AVOMF,
c114728af2acdca0bd8b1d2f5792e393c775f5fc,SCLP_ASYNC,AVOMF,AVOMF,
78632b609a71ff2f598b114026fca03747f3a8c8,TSL2561,AVOMF,AVOMF,
707b2ce6c1f4f1261788f2ff09ad82c35e0e6240,MISDN_W6692,AVOMF,AVOMF,
60479690af6d559d4202bed139db90323386bd2b,VME_CA91CX42,AVOMF,AVOMF,
9fcd66e572b94974365a9119b073e0a43d496eb7,SERIAL_BCM63XX,AVOMF,AVOMF,
89803d83b69c5ce05c590f01a0ba92b99d28b057,CAPTURE_DAVINCI_DM646X_EVM,AVOMF,FCUTVOF,
f619106bdd9d197c947f07108af57946f19a7f7e,SCSI_3W_SAS,AVOMF,AVOMF,
f5f96b93e745dd054110d511779e7ec5cfdfdfe6,TOUCHSCREEN_S3C2410,AVOMF,AVOMF,
95963cbcd0ee00026cc34ba84906ee4aa2029f4d,MEDIA_TUNER_MAX2165,AVOMF,AVOMF,
43299f285937c907abcdd987c670c755194943cc,RTC_DRV_MC13783,AVOMF,AVOMF,
63978ab3e3e963db28093b53bb4598f2702e1ad7,SND_USB_UA101,AVOMF,AVOMF,
d50f8f339f6901fccc9d4292b65ce8b69d7413d4,MFD_MAX8925,AVOMF,AVOMF,
d07e8bf83fd71567aaf9c27c3b133ab3cf8f3c4c,BACKLIGHT_88PM860X,AVOMF,AVOMF,
358934a60d2180dcd1ed20691dbb66d4fb977ab2,SPI_DAVINCI,AVOMF,AVOMF,
77f720b71d88a3cbf574c113566a31c93099f97d,HID_MOSART,AVOMF,AVOMF,
671ece14bc58a88dea76b11c5745a09c33934663,ADIS16209,AVOMF,AVOMF,
1e3864e63576e33dd1b26ab750ffaab3066aaba9,ADIS16300,AVOMF,AVOMF,
14e40f644b020d473415342461b7c62e3bb5e312,LEDS_NET5501,AVOMF,AVOMF,
a9885c8f7bf62e251fc178f838b9f0ee897c158a,HID_ZYDACRON,AVOMF,FCUTVOF,
08b3924b24cdb1942393dc3009335a2153bd2eac,BACKLIGHT_EP93XX,AVOMF,AVOMF,
c88c4e4c7a427ee65556f33e6327b604ec209ec3,HYPERV_UTILS,AVOMF,AVOMF,
2671717265ae6e720a9ba5f13fbec3a718983b65,INTEL_IDLE,AVOMF,AVOMF,
86a8938078a8bb518c5376de493e348c7490d506,ATOMIC64_SELFTEST,AVOMF,AVOMF,
9701dc94a14e54a33c3c99744ec3a761f6385fc6,VIDEO_TM6000,AVOMF,AVOMF,
7fdcef8a414eaeb367b3696005b25283d62d195d,LEDS_MC13783,AVOMF,AVOMF,
787a51a0878f7bee3a9a83040077301e1556b69a,NET_SCTPPROBE,AVOMF,AVOMF,
fdc50a9444b9781f4dd5aa5f7453300d2688cc5f,MMC_SH_MMCIF,AVOMF,AVOMF,
79cb8ced7eef53856b5a877db0544acf52e00c80,SQUASHFS_LZO,AVOMF,AVOMF,
5bf1d290b57e392eaf4bfb15c67f315fce4140be,BMP085,AVOMF,AVOMF,
d843fc6e9dc9bee7061b6833594860ea93ad98e1,SERIAL_MFD_HSU,AVOMF,AVOMF,
225109957a74c571c49e860fcc4e81fa6df1079d,SERIAL_MRST_MAX3110,AVOMF,AVOMF,
96cb4eb019ce3185ec0d946a74b5a2202f5067c9,F71808E_WDT,AVOMF,AVOMF,
2ff729d506e8db82d76a93bc963df4d0a4d46b57,ACPI_APEI_ERST_DEBUG,AVOMF,AVOMF,
ca4146985db7cbb97816e9b961b8db79e63d9e86,IR_LIRC_CODEC,AVOMF,AVOMF,
14f184e6d19855384ec6468d6894a6e48ed3f869,LIRC_IGORPLUGUSB,AVOMF,FCUTVOF,
96d8e90382dc336b5de401164597edfdc2e8d9f1,CAN_ESD_USB2,AVOMF,AVOMF,
b0547a70db38ee851a32306ee2e1e43a1e0d28ea,SND_SOC_TAVOREVB3,AVOMF,AVOMF,
a9533e7ea3c410fed2f4cd8b3e1e213e48529b75,BRCM80211_PCI,AVOMF,AVOCFF,
24b4b67d17c308aaa956b73ab1e88190f6642bbe,TTY_PRINTK,AVOMF,AVOMF,
1f1846c6ceed07c03ef036a27864befe0f773997,IMX_DMA,AVOMF,AVOMF,
6bc235a2e24a5ef677daee3fd4f74f6cd643e23c,USB_YUREX,AVOMF,AVOMF,
c6e3fd22cd538365bfeb82997d5b89562e077d42,SPEAKUP_SYNTH_DECTLK,AVOMF,AVOMF,
c6e3fd22cd538365bfeb82997d5b89562e077d42,SPEAKUP_SYNTH_DTLK,AVOMF,AVOMF,
602adf400201636e95c3fed9f31fba54a3d7e844,BLK_DEV_RBD,AVOMF,AVOMF,
bb6f19eafe3a1a5dd937ce66668e70aeaa1b0bf4,ADIS16204,AVOMF,AVOMF,
df660251eb534649f90f9dcfe1da1cef4ea48a3e,XEN_BACKEND,AVOMF,AVOMF,
a1044e36e457fb6dbdf90ce756d578b251d99b5e,CAN_SLCAN,AVOMF,AVOMF,
82148d1d0b2f369851f2dff5088f7840f9f16abf,X86_32_IRIS,AVOMF,AVOMF,
e8ada962bc2e34e964d370f721994387df7b1363,AD7298,AVOMF,AVOMF,
3c6a483275f47a2ef7119309ad3d791c10cf30da,SERIAL_PCH_UART,AVOMF,AVOMF,
9bd060e492a2725c55404988ceed473a090bd04d,SOC_CAMERA_OV9740,AVOMF,
bd7e4e85f3b8e5c7ea2f09d0b3350b264e339a14,KEYBOARD_QT1070,AVOMF,AVOMF,
dcfb81d61da1367e52f7f7e3ceff0d0044c3c7ee,MTD_LATCH_ADDR,AVOMF,AVOMF,
442aba78728e77e03172ba83e905b9aff96febcf,SENSORS_PMBUS,AVOMF,AVOMF,
5efb94ee144c1c7290652495a0f4f29cae845a62,HW_RANDOM_PICOXCELL,AVOMF,AVOMF,
0070bddfe7275e5bc763884a8ac59651f4e79eab,SENSORS_TWL4030_MADC,AVOMF,AVOMF,
798a8eee44da56b4f2e000ff81dfb49d09c65b71,TPS6105X,AVOMF,AVOMF,
b9618c0cacd7cf56cc3d073c1e9e9a8a3a12864e,AD7606,AVOMF,AVOMF,
8d77c036b57cf813d838f859e11b6a188acdb1fb,FTMAC100,AVOMF,AVOMF,
949a12e3a87281e38d3520823e7e171bbe45b448,DVB_DRXD,AVOMF,
61ec9016988f5c030e96e3c8a42ee9e11b8517aa,SERIAL_XILINX_PS_UART,AVOMF,AVOMF,
8e8ec596e6c0144e2dd500a57ee23dde9684df46,CRYPTO_DEV_FSL_CAAM_CRYPTO_API,AVOMF,AVOMF,
d6f087ec9c7ba029419762273a685460c93c8454,AD7780,AVOMF,AVOMF,
e561bc45920aade3f8a5aad9058a00e750af1345,GOOGLE_MEMCONSOLE,AVOMF,AVOMF,
36682b81de32090f5c9fac165e71ab8939aab8c0,KEYBOARD_MPR121,AVOMF,AVOMF,
cfee95977bea090ae5ec4fd442ebd381792d46c4,OLPC_XO1_RTC,AVOMF,AVOMF,
f7eb6c5e8e5e1e96c36763778e9a78b9da6fcd31,REGULATOR_AAT2870,AVOMF,AVOMF,
68d1c4a73c424061d0de760e04387e3e731c7da4,SND_OMAP_SOC_OMAP4_HDMI,AVOMF,FCUTVOF,
13abadad177074b84f6697639e1d4f64a55b1773,VIDEO_ADP1653,AVOMF,
ceb80363b2ec1091dffd78064771e3d4679f69c7,USB_NET2272,AVOMF,AIMF,
3f0292ae8bb100cc8f96106a3de277df48134887,REGULATOR_GPIO,AVOMF,AVOMF,
97cc26576fa2b0eb1aad1b29515bb0a32f86c45c,NVEC_LEDS,AVOMF,AVOMF,
b2ce305dda483e59a78d5aa6e4211034c0cea38d,SND_SOC_DB1000,AVOMF,AVOMF,
3d5e2cabf11a65685e5067382ba4c4a76f18fcb7,AB5500_CORE,AVOMF,AVOMF,
3bb3dbbd56ea39e5537db8f8041ea95d28f16a7f,CHARGER_MANAGER,AVOMF,AVOMF,
8f97339d3feb662037b86a925e692017c0b32323,IP_NF_MATCH_RPFILTER,AVOMF,AVOMF,
c03f2c5368183687660b1d39350a153aeb8a1a6a,AD5380,AVOMF,AVOMF,
dc3c56b703dad4aec8a9b3dd86f03a90d0c26a2d,VIA_WDT,AVOMF,AVOMF,
e9a4593cc5e36c6d47c87b439cb41c2568e7395f,LEDS_OT200,AVOMF,AVOMF,
d84083268bd707ebb8ed2f4fc26ebc7a0c453a83,DRM_EXYNOS_HDMI,AVOMF,AVOMF,
c975dd469d748ce619c510050d4fb407c2398591,BTRFS_FS_CHECK_INTEGRITY,AVOMF,AVOAF,
5db6b777f68603bf5a9eab891d83413ad894a074,SXG,AVOGMF,AVOGMF,
6bde3ed98d9d0bc2e71b3123b003d5614debda74,FB_VIA,AVOGMF,AVOGMF,
91da11f870f00a3322b81c73042291d7f0be5a17,NET_DSA,AVOGMF,AVOGMF,
99e06e372378c5833a0c60274b645dfb2e4a4b08,USB_ATMEL,AVOGMF,AVOGMF,
e6d69d91d575d0fb573d3103e1fdff6ec98e52b6,USB_SERIAL_ATEN2011,AVOGMF,AVOGMF,
847ec80bbaa76aae41062d6802cea9c1b2289f14,IIO,AVOGMF,AVOGMF,
3908c6902372206cc582ecf459af889b09a150c9,CAIF,AVOGMF,AVOGMF,
126bb03b461c2f03f2d2a43b9a587941bf146e0e,USB_ENESTORAGE,AVOGMF,AVOGMF,
85e09b40405b44b049500702beb6856646b4be46,RTL8192SE,AVOGMF,AVOGMF,
1dac4186bcc663cb8c2bcc59481aea8fe9124a6c,RTS5139,AVOGMF,AVOGMF,
3ab83521378268044a448113c6aa9a9e245f4d2f,KEXEC_JUMP,AVONMF,AVONMF,
516cbf3730c49739629d66313b20bdc50c98aa2c,CMDLINE_BOOL,AVONMF,AVONMF,
516cbf3730c49739629d66313b20bdc50c98aa2c,CMDLINE_OVERRIDE,AVONMF,AVONMF,
67f854b910613eeffec4fe71e35c0cd8c32c82ec,SND_BF5XX_MULTICHAN_SUPPORT,AVONMF,AVONMF,
79e539453b34e35f39299a899d263b0a1f1670bd,DRM_I915_KMS,AVONMF,AVONMF,
e4adca27bcbb8a73c4cf1dfa71392654cfa33345,DEVPTS_MULTIPLE_INSTANCES,AVONMF,AVOAF,
30d65dbfe3add7f010a075991dc0bfeaebb7d9e1,RD_BZIP2,AVONMF,AVONMF,
b14f8ab2844987f013253dd04b708bde7fc1b52d,EXOFS_DEBUG,AVONMF,AVONMF,
06b3db1b9bccdc8c2c743122a89745279e5ecc46,FSCACHE_DEBUG,AVONMF,AVONMF,
b4be468cc1e65110d9144751bf7079dad6f142b7,TOUCHSCREEN_AD7879_SPI,AVONMF,AVONMF,
e32a7eccd7f016928dd864711ac654e6db62c5f3,USB_PWC_INPUT_EVDEV,AVONMF,AVONMF,
26e744b6b61066203fd57de0d3962353621e06f8,USB_GSPCA_SN9C20X_EVDEV,AVONMF,AVONMF,
0b91421857414f525690ee452c0b0acb6ab1dba3,BFIN_JTAG_COMM_CONSOLE,AVONMF,AVONMF,
7d46d9e6dbffe8780aa8430a63543d3f7ba92860,KMEMCHECK_ENABLED_BY_DEFAULT,AVONMF,AVOAF,
7d46d9e6dbffe8780aa8430a63543d3f7ba92860,KMEMCHECK_ONESHOT_BY_DEFAULT,AVONMF,AVOAF,
47dd7a540b8a0cdc028914b7351fca0cf0a1d305,STMMAC_DA,AVONMF,AVONMF,
4d4036e0e7299c6cbb2d2421b4b30b7a409ce61a,OPROFILE_EVENT_MULTIPLEX,AVONMF,AVONMF,
73a19e4c0301908ce6346715fd08a74308451f5a,SERIAL_SH_SCI_DMA,AVONMF,AVONMF,
c6c560085172c16a0141ab12ae765c7d1be68279,USB_FUNCTIONFS_GENERIC,AVONMF,AVONMF,
ef3eb71d8ba4fd9d48c5f9310bc9d90ca00323b4,ZFCP_DIF,AVONMF,AVONMF,
817e5c65c511d4a83686333ae75507deb4b55d5e,AD2S1210_GPIO_INPUT,AVONMF,AVONMF,
24fa0402a9b6a537e87e38341e78b7da86486846,XZ_DEC_IA64,AVONMF,AVONMF,
24fa0402a9b6a537e87e38341e78b7da86486846,XZ_DEC_SPARC,AVONMF,AVONMF,
cffd9348a3ae87ac98a4b3c03a5359e28ad50b93,NTSC_YCBCR,AVONMF,AVONMF,
f95f3850f7a9e1d49ebc5b6e72e7cc3ec3685b0b,MMC_DW_IDMAC,AVONMF,AVONMF,
b7ca01a9b20e3fdd11745227905e9ad8a99e0123,FB_CYBER2000_I2C,AVONMF,AVONMF,
aca355b9784fbc960c9caa6b30f953a965296420,RT2800USB_RT53XX,AVONMF,AVONMF,
095c0aa83e52d6c3dd7168610746703921f570af,PARAVIRT_TIME_ACCOUNTING,AVONMF,AVONMF,
7646887a5390123475fdd621620b9f270b38df98,MAC80211_VERBOSE_MPATH_DEBUG,AVONMF,AVONMF,
991d9fa02da0dd1f843dc011376965e0c8c6c9b5,DM_DEBUG_SPACE_MAPS,AVONMF,AVOAF,
7657cacf478940b995c2c73fdff981c13cc62c5c,SQUASHFS_4K_DEVBLK_SIZE,AVONMF,AVONMF,
0cb38d65efa0304e9a948fd7aef9c7d38ad8cbb9,IWLWIFI_P2P,AVONMF,AVONMF,
366d19e181be873c70f4aafca3931d77d781ccd7,MATOM,AVONMCFF,AVONMCFF,
45f81b1c96d9793e47ce925d257ea693ce0b193e,JUMP_LABEL,AVONMCFF,AVOCFF,
30295c8936f3a426985e99bebb17d72bd7847910,AR600x_DUAL_ANTENNA,AVONMCFF,AVONMCFF,
b77e5228849fdcd7a5d73beb16b9ad99395236ec,DE2104X_DSL,AVMVF,AVMVF,
6b7d8f8b5c43f7bedda750d8a9dab0658da1d2ba,SERIAL_ALTERA_UART_MAXPORTS,AVMVF,AVMVF,
24278d148316d2180be6df40e06db013d8b232b8,RCU_BOOST_PRIO,AVMVF,AVMVF,
0e77e78410245894e5ebde30dc68ced6daa81bce,SND_SOC_AD73311,AIMF,AIMF,
cf85d08fdf4548ee46657ccfb7f9949a85145db5,NET_DSA_TAG_DSA,AIMF,AIMF,
1c0090c280da18f79e3e94168b5f3bfe4eb5f1c8,SND_SOC_PCM3008,AIMF,AIMF,
4b166da939012905f4c36fedada62067db31948e,SND_S6000_SOC_I2S,AIMF,AIMF,
9db9ed977d4f1a317f5f4d467d43025fa27223d8,SND_SOC_MAX9877,AIMF,AIMF,
a3a83d9a7cb0ce3b1d100060d5ad777e7480b4f2,SND_SOC_AK4642,AIMF,AIMF,
9d20015391dfc47f6371492925cc0333ac403414,FB_MSM_LCDC_PANEL,AIMF,AIMF,
49d7ad9d8a5546d96061f08de1fb30241140849c,SND_SOC_WL1273,AIMF,AIMF,
a710770e05563fd5add9af686569ee9fa56bbd65,SND_SOC_DMIC,AIMF,AIMF,
31ef9134eb52636d383a7d0626cbbd345cb94f2f,SND_FIREWIRE_LIB,AIMF,AIMF,
c93993aca45a223452d2a95383b655c85878c6e8,SND_SOC_WM8915,AIMF,AIMF,
689b956e2cf87bf3f67163964d69bca97befafaa,SND_SOC_RT5631,AIMF,AIMF,
ab10023e0088d5075354afc7cb9e72304757dddd,CPU_PM,AIMF,AIMF,
fd26f9474676bb2232ba9dded148edc41fd02ef4,SND_OMAP_SOC_DMIC,AIMF,AIMF,
995187bed30c0545e8da88372e9807da0a85911e,IR_NEC_DECODER,FCUTOVF,FCUTVOF,
347ec4e47dd249c0620f429d8458fc42eed63e0e,GPIO_S5PV210,FCUTOVF,FCUTVOF,
0bbfa259ac9f678e3f3d1a7eb7f51d14840c6851,DRM_PSB_MRST,FCUTOVF,FCUTVOF,
eeb00c604ad203a51a0b92e124bcc4f98ba7e2c0,USB_GSPCA_PAC207,FCUTOVF,FCUTVOF,
eeb00c604ad203a51a0b92e124bcc4f98ba7e2c0,USB_GSPCA_STK014,FCUTOVF,FCUTVOF,
eeb00c604ad203a51a0b92e124bcc4f98ba7e2c0,USB_GSPCA_VC032X,FCUTOVF,FCUTVOF,
e2ca307439fb9df922c3e8891289a2ac05812fb7,I2C_SMBUS,FCUTOVF,FCUTVOF,
f1d7dbbef51a624ff0ec76f022802d677fdb9888,COMEDI_ME_DAQ,FCUTOVF,FCUTVOF,
f1d7dbbef51a624ff0ec76f022802d677fdb9888,COMEDI_ME4000,FCUTOVF,FCUTVOF,
f1d7dbbef51a624ff0ec76f022802d677fdb9888,COMEDI_PCL730,FCUTOVF,FCUTVOF,
f1d7dbbef51a624ff0ec76f022802d677fdb9888,COMEDI_S626,FCUTOVF,FCUTVOF,
f1d7dbbef51a624ff0ec76f022802d677fdb9888,COMEDI_SERIAL2002,FCUTOVF,FCUTVOF,
f1d7dbbef51a624ff0ec76f022802d677fdb9888,COMEDI_DAS6402,FCUTOVF,FCUTVOF,
ff850c339a1a6a7724537160c73cdc09a483fc5d,THINKPAD_ACPI_ALSA_SUPPORT,FCFTVOF,AVONMF,
de1ebdceb6a4fe1b7073b81d273285b7c8bed312,RT2800USB_RT30XX,FCFTVOF,AVONMF,
9a7780c9acb821fe1c2b6fc53f74cc2556ff5364,ATA_BMDMA,FCFTVOF,FCFTVOF,
6de5bd128d381ad88ac6d419a5e597048eb468cf,BKL,FCFTVOF,AVONMF,
5d7d18f5bc507b60d3d8967e2739d5e6ffdd630f,STRIP_ASM_SYMS,AVOCFF,AVOCFF,
2521f2c228ad750701ba4702484e31d876dbc386,GCOV_PROFILE_ALL,AVOCFF,AVOAF,
8369ae33b705222aa05ab53c7d6b4458f4ed161b,BCMA_DEBUG,AVOCFF,AVOCFF,
72246da40f3719af3bfd104a2365b32537c27d83,USB_DWC3_VERBOSE,AVOCFF,AVOCFF,
7a8576204333d133d58cbcc59dacf49a5546e3e4,USB_PXA25X_SMALL,RENAME,ACINMF,
03010a3350301baac2154fa66de925ae2981b7e3,EXT4_FS_XATTR,RENAME,FCUTVOF,
7a6b6f515f77d1c62a2f383b6dce18cb0af0cf4f,IXGBE_DCB,RENAME,FCUTVOF,
3b937a7dbddbedd9457b33fcc8fa369c0c229c6e,ORION_WATCHDOG,RENAME,FCUTVOF,
bf46b9a92e45044d0b41beed61ae118e560dd3e4,SPECTRA_EMU,RENAME,FCUTVOF,
b3d23688a15c4c332942f9428e0d708e7362e29e,TIDSPBRIDGE_RECOVERY,RENAME,AVOAF,
16a4bfb9e9dfefbd28ee170fa3e259bc88d81eb5,ZRAM,RENAME,AVOGMF,
8c1b5306f0da93f5f9bb9aa7024828cb2b7ab387,SND_SOC_SAMSUNG_SMDK_WM8994,RENAME,FCUTVOF,
8c1b5306f0da93f5f9bb9aa7024828cb2b7ab387,SND_SOC_SAMSUNG_SMDK_WM9713,RENAME,FCUTVOF,
00d201001bd4e8a46e3d03c970abcb72256c368b,WL12XX_SDIO,RENAME,FCUTVOF,
64e62426f40d1017a7ced93ee71d333529196365,USBIP_DEBUG,RENAME,AVOCFF,
2373f6b9744d5373b886f3ce1a985193cca0a356,I2C_DESIGNWARE_PLATFORM,RENAME,AVOMF,
d31751679897441d89e6ae59da98f1424b3f7dfe,IWLEGACY_DEBUG,RENAME,AVONMF,
