CPU_32v7 :: 
MACH_DM355_LEOPARD :: arch/arm/mach-davinci/board-dm355-leopard.c=
DRM_EXYNOS_FIMD :: drivers/gpu/drm/exynos/exynos_drm_fimd.c=
TOUCHSCREEN_ATMEL_MXT :: drivers/input/touchscreen/atmel_mxt_ts.c=
SCSI_MESH :: drivers/scsi/mesh.c=drivers/scsi/mesh.h=
EXT4_FS_XATTR :: fs/ext4/xattr.c=fs/ext4/xattr.h=fs/ext4/xattr_user.c=fs/ext4/xattr_trusted.c=
FB_CFB_FILLRECT :: drivers/video/cfbfillrect.c=
DEBUG_LL :: arch/arm/kernel/debug.S=arch/arm/mach-imx/lluart.c=arch/arm/mach-prima2/lluart.c=arch/unicore32/kernel/debug.S=
NETFILTER_NETLINK :: net/netfilter/nfnetlink.c=
I2C_VERSATILE :: drivers/i2c/busses/i2c-versatile.c=
NF_CONNTRACK_FTP :: net/netfilter/nf_conntrack_ftp.c=
FB_OLPC_DCON_1_5 :: drivers/staging/olpc_dcon/olpc_dcon_xo_1_5.c=
MKISS :: drivers/net/hamradio/mkiss.c=
INPUT_BMA150 :: drivers/input/misc/bma150.c=
MFD_DAVINCI_VOICECODEC :: drivers/mfd/davinci_voicecodec.c=
HID_UCLOGIC :: drivers/hid/hid-uclogic.c=
H8300H_H8MAX :: 
AD7152 :: drivers/staging/iio/cdc/ad7152.c=
NET_VENDOR_REALTEK :: realtek/=
BATTERY_DS2782 :: drivers/power/ds2782_battery.c=
AFIUCV :: net/iucv/af_iucv.c=
AD7150 :: drivers/staging/iio/cdc/ad7150.c=
NF_CONNTRACK_TFTP :: net/netfilter/nf_conntrack_tftp.c=
BATTERY_DS2780 :: drivers/power/ds2780_battery.c=
SND_SOC_SAMSUNG_NEO1973_WM8753 :: sound/soc/samsung/neo1973_wm8753.c=
TABLET_USB_ACECAD :: drivers/input/tablet/acecad.c=
NFC_WILINK :: drivers/nfc/nfcwilink.c=
IR_RC6_DECODER :: drivers/media/rc/ir-rc6-decoder.c=
KERNEL_BZIP2 :: 
ARCH_REALVIEW :: 
EP93XX_PWM :: drivers/misc/ep93xx_pwm.c=
ROADRUNNER :: drivers/net/hippi/rrunner.c=drivers/net/hippi/rrunner.h=
ESI_DONGLE :: drivers/net/irda/esi-sir.c=
SH_R7780MP :: arch/sh/boards/mach-highlander/irq-r7780mp.c=
SLOB :: mm/slob.c=
INFINIBAND_QIB :: drivers/infiniband/hw/qib/qib_cq.c=drivers/infiniband/hw/qib/qib_diag.c=drivers/infiniband/hw/qib/qib_dma.c=drivers/infiniband/hw/qib/qib_driver.c=drivers/infiniband/hw/qib/qib_eeprom.c=drivers/infiniband/hw/qib/qib_file_ops.c=drivers/infiniband/hw/qib/qib_fs.c=drivers/infiniband/hw/qib/qib_init.c=drivers/infiniband/hw/qib/qib_intr.c=drivers/infiniband/hw/qib/qib_keys.c=drivers/infiniband/hw/qib/qib_mad.c=drivers/infiniband/hw/qib/qib_mad.h=drivers/infiniband/hw/qib/qib_mmap.c=drivers/infiniband/hw/qib/qib_mr.c=drivers/infiniband/hw/qib/qib_pcie.c=drivers/infiniband/hw/qib/qib_pio_copy.c=drivers/infiniband/hw/qib/qib_qp.c=drivers/infiniband/hw/qib/qib_qsfp.c=drivers/infiniband/hw/qib/qib_qsfp.h=drivers/infiniband/hw/qib/qib_rc.c=drivers/infiniband/hw/qib/qib_ruc.c=drivers/infiniband/hw/qib/qib_sdma.c=drivers/infiniband/hw/qib/qib_srq.c=drivers/infiniband/hw/qib/qib_sysfs.c=drivers/infiniband/hw/qib/qib_twsi.c=drivers/infiniband/hw/qib/qib_tx.c=drivers/infiniband/hw/qib/qib_uc.c=drivers/infiniband/hw/qib/qib_ud.c=drivers/infiniband/hw/qib/qib_user_pages.c=drivers/infiniband/hw/qib/qib_user_sdma.c=drivers/infiniband/hw/qib/qib_user_sdma.h=drivers/infiniband/hw/qib/qib_verbs_mcast.c=drivers/infiniband/hw/qib/qib_iba7220.c=drivers/infiniband/hw/qib/qib_sd7220.c=drivers/infiniband/hw/qib/qib_iba7322.c=drivers/infiniband/hw/qib/qib_verbs.c=drivers/infiniband/hw/qib/qib_verbs.h=hw/qib/=
MTD_CFI_UTIL :: drivers/mtd/chips/cfi_util.c=
FSL_LBC :: arch/powerpc/sysdev/fsl_lbc.c=
NET_DSA_TAG_DSA :: net/dsa/tag_dsa.c=
TEGRA_SYSTEM_DMA :: arch/arm/mach-tegra/dma.c=
IMX_HAVE_PLATFORM_MXC_NAND :: arch/arm/plat-mxc/devices/platform-mxc_nand.c=
GAMEPORT_EMU10K1 :: drivers/input/gameport/emu10k1-gp.c=
SLHC :: slip/=drivers/net/slip/slhc.c=
BATTERY_DS2760 :: drivers/power/ds2760_battery.c=
SGI_XP :: sgi-xp/=drivers/misc/sgi-xp/xpnet.c=drivers/misc/sgi-xp/xp_main.c=drivers/misc/sgi-xp/xpc_main.c=drivers/misc/sgi-xp/xpc_channel.c=drivers/misc/sgi-xp/xpc_partition.c=
MACH_PALM27X :: arch/arm/mach-pxa/palm27x.c=
ARCH_AT91X40 :: arch/arm/mach-at91/at91x40.c=arch/arm/mach-at91/at91x40_time.c=
MACH_TROUT :: arch/arm/mach-msm/board-trout.c=arch/arm/mach-msm/board-trout.h=arch/arm/mach-msm/board-trout-gpio.c=arch/arm/mach-msm/board-trout-mmc.c=arch/arm/mach-msm/devices-msm7x00.c=arch/arm/mach-msm/board-trout.c=arch/arm/mach-msm/board-trout.h=arch/arm/mach-msm/board-trout-gpio.c=arch/arm/mach-msm/board-trout-mmc.c=arch/arm/mach-msm/board-trout-panel.c=arch/arm/mach-msm/devices-msm7x00.c=
LEDS_COBALT_QUBE :: drivers/leds/leds-cobalt-qube.c=
ZD1211RW_DEBUG :: 
USB_GOKU :: drivers/usb/gadget/goku_udc.c=drivers/usb/gadget/goku_udc.h=
IPMI_DEVICE_INTERFACE :: drivers/char/ipmi/ipmi_devintf.c=
HISAX_S0BOX :: drivers/isdn/hisax/s0box.c=drivers/isdn/hisax/isac.c=drivers/isdn/hisax/isac.h=drivers/isdn/hisax/arcofi.c=drivers/isdn/hisax/arcofi.h=drivers/isdn/hisax/hscx.c=drivers/isdn/hisax/hscx.h=
BTREE :: lib/btree.c=
SND_PCM_OSS_PLUGINS :: sound/core/oss/pcm_plugin.c=sound/core/oss/pcm_plugin.h=sound/core/oss/io.c=sound/core/oss/copy.c=sound/core/oss/linear.c=sound/core/oss/mulaw.c=sound/core/oss/route.c=sound/core/oss/rate.c=
SENSORS_BH1780 :: drivers/misc/bh1780gli.c=
VIDEO_EM28XX_ALSA :: drivers/media/video/em28xx/em28xx-audio.c=
MACH_MX51_EFIKAMX :: arch/arm/mach-mx5/board-mx51_efikamx.c=
JFFS2_FS_XATTR :: fs/jffs2/xattr.c=fs/jffs2/xattr.h=fs/jffs2/xattr_trusted.c=fs/jffs2/xattr_user.c=
CRYPTO_CTR :: crypto/ctr.c=
LOCAL_TIMERS :: arch/arm/mach-highbank/localtimer.c=arch/arm/mach-imx/localtimer.c=arch/arm/mach-omap2/timer-mpu.c=arch/arm/mach-shmobile/localtimer.c=arch/arm/mach-ux500/localtimer.c=arch/arm/plat-versatile/localtimer.c=
ALPHA_AVANTI :: arch/alpha/kernel/sys_sio.c=arch/alpha/kernel/irq_i8259.c=arch/alpha/kernel/irq_srm.c=arch/alpha/kernel/pc873xx.c=arch/alpha/kernel/pc873xx.h=
3C359 :: drivers/net/tokenring/3c359.c=drivers/net/tokenring/3c359.h=
SND_SOC_WM5100 :: sound/soc/codecs/wm5100.c=sound/soc/codecs/wm5100.h=sound/soc/codecs/wm5100-tables.c=
MACH_SMDK4412 :: arch/arm/mach-exynos/mach-smdk4x12.c=
SERIAL_SUNSAB :: drivers/tty/serial/sunsab.c=drivers/tty/serial/sunsab.h=
CRYPTO_CTS :: crypto/cts.c=
SND_LAYLA24 :: sound/pci/echoaudio/layla24.c=
SND_LAYLA20 :: sound/pci/echoaudio/layla20.c=
VIDEO_TDA9840 :: drivers/media/video/tda9840.c=
RTC_DRV_NUC900 :: drivers/rtc/rtc-nuc900.c=
LIB80211_CRYPT_CCMP :: net/wireless/lib80211_crypt_ccmp.c=
IP6_NF_MATCH_AH :: net/ipv6/netfilter/ip6t_ah.c=
LEDS_88PM860X :: drivers/leds/leds-88pm860x.c=
NET_VENDOR_MELLANOX :: mellanox/=
PLAT_MAPPI :: mappi/=
SYNCLINK_CS :: drivers/char/pcmcia/synclink_cs.c=
IP_VS_PROTO_AH_ESP :: net/netfilter/ipvs/ip_vs_proto_ah_esp.c=
DVB_L64781 :: drivers/media/dvb/frontends/l64781.c=drivers/media/dvb/frontends/l64781.h=
MACH_CAPC7117 :: arch/arm/mach-pxa/capc7117.c=arch/arm/mach-pxa/mxm8x10.c=
CLKDEV_LOOKUP :: drivers/clk/clkdev.c=
PCMCIA_M8XX :: drivers/pcmcia/m8xx_pcmcia.c=
PLAT_VERSATILE_FPGA_IRQ :: arch/arm/plat-versatile/fpga-irq.c=
SYS_SUPPORTS_ZBOOT :: 
HISAX_ST5481 :: drivers/isdn/hisax/st5481_init.c=drivers/isdn/hisax/st5481_usb.c=drivers/isdn/hisax/st5481_d.c=drivers/isdn/hisax/st5481_b.c=
SERIO_MACEPS2 :: drivers/input/serio/maceps2.c=
SOUND_TRIX :: sound/oss/trix.c=sound/oss/ad1848.c=sound/oss/ad1848.h=sound/oss/uart401.c=sound/oss/sb_common.c=sound/oss/sb_audio.c=sound/oss/sb_midi.c=sound/oss/sb_mixer.c=sound/oss/sb_mixer.h=sound/oss/sb_ess.c=sound/oss/sb_ess.h=
OF_I2C :: drivers/of/of_i2c.c=
SLIP :: slip/=drivers/net/slip/slip.c=drivers/net/slip/slip.h=
PARIDE :: drivers/block/paride/paride.c=drivers/block/paride/paride.h=block/paride/=
SH_DREAMCAST :: arch/sh/drivers/pci/ops-dreamcast.c=arch/sh/drivers/pci/fixups-dreamcast.c=arch/sh/drivers/pci/pci-dreamcast.c=
SH_CPU_FREQ :: arch/sh/kernel/cpufreq.c=
NET_VENDOR_NVIDIA :: nvidia/=
COMEDI_ADDI_APCI_3XXX :: drivers/staging/comedi/drivers/addi_apci_3xxx.c=
NETFILTER_XT_TARGET_NFQUEUE :: net/netfilter/xt_NFQUEUE.c=
MAC80211_RC_PID :: 
NET_VENDOR_I825XX :: i825xx/=
SH_R7780RP :: arch/sh/boards/mach-highlander/irq-r7780rp.c=
SPI_TLE62X0 :: drivers/spi/spi-tle62x0.c=
PPC_EPAPR_HV_BYTECHAN :: drivers/tty/ehv_bytechan.c=
LIBERTAS :: drivers/net/wireless/libertas/cfg.c=drivers/net/wireless/libertas/cfg.h=drivers/net/wireless/libertas/cmd.c=drivers/net/wireless/libertas/cmd.h=drivers/net/wireless/libertas/cmdresp.c=drivers/net/wireless/libertas/debugfs.c=drivers/net/wireless/libertas/debugfs.h=drivers/net/wireless/libertas/ethtool.c=drivers/net/wireless/libertas/main.c=drivers/net/wireless/libertas/rx.c=drivers/net/wireless/libertas/tx.c=libertas/=
SCSI_GENERIC_NCR5380 :: drivers/scsi/g_NCR5380.c=drivers/scsi/g_NCR5380.h=
SH_MIPI_DSI :: drivers/video/sh_mipi_dsi.c=
ATMEL_TCLIB :: drivers/misc/atmel_tclib.c=
USB_SERIAL_FTDI_SIO :: drivers/usb/serial/ftdi_sio.c=drivers/usb/serial/ftdi_sio.h=
FEC_MPC52xx :: drivers/net/ethernet/freescale/fec_mpc52xx.c=drivers/net/ethernet/freescale/fec_mpc52xx.h=drivers/net/ethernet/freescale/fec_mpc52xx_phy.c=
NET_VENDOR_CISCO :: cisco/=
SBC8641D :: arch/powerpc/platforms/86xx/sbc8641d.c=
DEBUG_FS :: arch/arm/mach-msm/clock-debug.c=arch/mips/jz4740/clock-debugfs.c=drivers/acpi/debugfs.c=drivers/base/regmap/regmap-debugfs.c=drivers/bluetooth/btmrvl_debugfs.c=drivers/hid/hid-debug.c=drivers/mmc/core/debugfs.c=drivers/net/wimax/i2400m/debugfs.c=drivers/net/wireless/mwifiex/debugfs.c=drivers/usb/musb/musb_debugfs.c=fs/debugfs/inode.c=fs/debugfs/file.c=debugfs/=net/wimax/debugfs.c=
MFD_WL1273_CORE :: drivers/mfd/wl1273-core.c=
MOUSE_PS2_LOGIPS2PP :: drivers/input/mouse/logips2pp.c=drivers/input/mouse/logips2pp.h=
WAN_ROUTER :: wanrouter/=net/wanrouter/wanproc.c=net/wanrouter/wanmain.c=
SERIAL_SB1250_DUART :: drivers/tty/serial/sb1250-duart.c=
MACH_SEABOARD :: arch/arm/mach-tegra/board-seaboard.c=arch/arm/mach-tegra/board-seaboard.h=arch/arm/mach-tegra/board-seaboard-pinmux.c=
SPI_BUTTERFLY :: drivers/spi/spi-butterfly.c=
IP_DCCP_CCID3 :: net/dccp/ccids/ccid3.c=net/dccp/ccids/ccid3.h=
FCOE_FNIC :: drivers/scsi/fnic/fnic_attrs.c=drivers/scsi/fnic/fnic_isr.c=drivers/scsi/fnic/fnic_main.c=drivers/scsi/fnic/fnic_res.c=drivers/scsi/fnic/fnic_res.h=drivers/scsi/fnic/fnic_fcs.c=drivers/scsi/fnic/fnic_scsi.c=drivers/scsi/fnic/vnic_cq.c=drivers/scsi/fnic/vnic_cq.h=drivers/scsi/fnic/vnic_dev.c=drivers/scsi/fnic/vnic_dev.h=drivers/scsi/fnic/vnic_intr.c=drivers/scsi/fnic/vnic_intr.h=drivers/scsi/fnic/vnic_rq.c=drivers/scsi/fnic/vnic_rq.h=drivers/scsi/fnic/vnic_wq_copy.c=drivers/scsi/fnic/vnic_wq_copy.h=drivers/scsi/fnic/vnic_wq.c=drivers/scsi/fnic/vnic_wq.h=fnic/=
FUSE_FS :: fs/fuse/dev.c=fs/fuse/dir.c=fs/fuse/file.c=fs/fuse/inode.c=fs/fuse/control.c=fuse/=
LIBERTAS_THINFIRM :: drivers/net/wireless/libertas_tf/main.c=drivers/net/wireless/libertas_tf/cmd.c=libertas_tf/=
FB_G364 :: drivers/video/g364fb.c=
ARCH_OMAP1 :: drivers/video/omap/lcdc.c=drivers/video/omap/lcdc.h=drivers/video/omap/sossi.c=
ARCH_OMAP2 :: arch/arm/mach-omap2/sdrc2xxx.c=arch/arm/mach-omap2/pm24xx.c=arch/arm/mach-omap2/sleep24xx.S=arch/arm/mach-omap2/prcm.c=arch/arm/mach-omap2/cm2xxx_3xxx.c=arch/arm/mach-omap2/cm2xxx_3xxx.h=arch/arm/mach-omap2/prm2xxx_3xxx.c=arch/arm/mach-omap2/prm2xxx_3xxx.h=arch/arm/mach-omap2/voltagedomains2xxx_data.c=arch/arm/mach-omap2/powerdomain2xxx_3xxx.c=arch/arm/mach-omap2/powerdomains2xxx_data.c=arch/arm/mach-omap2/powerdomains2xxx_3xxx_data.c=arch/arm/mach-omap2/powerdomains2xxx_3xxx_data.h=arch/arm/mach-omap2/clockdomain.c=arch/arm/mach-omap2/clockdomain.h=arch/arm/mach-omap2/clockdomain2xxx_3xxx.c=arch/arm/mach-omap2/clockdomains2xxx_3xxx_data.c=arch/arm/mach-omap2/clock2xxx.c=arch/arm/mach-omap2/clock2xxx.h=arch/arm/mach-omap2/clkt2xxx_sys.c=arch/arm/mach-omap2/clkt2xxx_dpllcore.c=arch/arm/mach-omap2/clkt2xxx_virt_prcm_set.c=arch/arm/mach-omap2/clkt2xxx_apll.c=arch/arm/mach-omap2/clkt2xxx_osc.c=arch/arm/mach-omap2/clkt2xxx_dpll.c=arch/arm/mach-omap2/clkt_iclk.c=arch/arm/plat-omap/omap_device.c=drivers/video/omap/rfbi.c=drivers/video/omap/dispc.c=drivers/video/omap/dispc.h=
ARCH_OMAP3 :: arch/arm/mach-omap2/sram34xx.S=arch/arm/mach-omap2/mux34xx.c=arch/arm/mach-omap2/mux34xx.h=arch/arm/mach-omap2/opp3xxx_data.c=arch/arm/mach-omap2/pm34xx.c=arch/arm/mach-omap2/sleep34xx.S=arch/arm/mach-omap2/cpuidle34xx.c=arch/arm/mach-omap2/prcm.c=arch/arm/mach-omap2/cm2xxx_3xxx.c=arch/arm/mach-omap2/cm2xxx_3xxx.h=arch/arm/mach-omap2/prm2xxx_3xxx.c=arch/arm/mach-omap2/prm2xxx_3xxx.h=arch/arm/mach-omap2/vc3xxx_data.c=arch/arm/mach-omap2/vp3xxx_data.c=arch/arm/mach-omap2/voltagedomains3xxx_data.c=arch/arm/mach-omap2/powerdomain2xxx_3xxx.c=arch/arm/mach-omap2/powerdomains3xxx_data.c=arch/arm/mach-omap2/powerdomains2xxx_3xxx_data.c=arch/arm/mach-omap2/powerdomains2xxx_3xxx_data.h=arch/arm/mach-omap2/clockdomain.c=arch/arm/mach-omap2/clockdomain.h=arch/arm/mach-omap2/clockdomain2xxx_3xxx.c=arch/arm/mach-omap2/clockdomains2xxx_3xxx_data.c=arch/arm/mach-omap2/clockdomains3xxx_data.c=arch/arm/mach-omap2/clock3xxx.c=arch/arm/mach-omap2/clock3xxx.h=arch/arm/mach-omap2/clock34xx.c=arch/arm/mach-omap2/clock34xx.h=arch/arm/mach-omap2/clkt34xx_dpll3m2.c=arch/arm/mach-omap2/clock3517.c=arch/arm/mach-omap2/clock3517.h=arch/arm/mach-omap2/clock36xx.c=arch/arm/mach-omap2/clock36xx.h=arch/arm/mach-omap2/dpll3xxx.c=arch/arm/mach-omap2/clock3xxx_data.c=arch/arm/mach-omap2/clkt_iclk.c=arch/arm/mach-omap2/omap_hwmod_2xxx_3xxx_ipblock_data.c=arch/arm/mach-omap2/omap_hwmod_2xxx_3xxx_interconnect_data.c=arch/arm/mach-omap2/omap_hwmod_3xxx_data.c=arch/arm/mach-omap2/omap_l3_smx.c=arch/arm/mach-omap2/omap_l3_smx.h=arch/arm/plat-omap/omap_device.c=drivers/video/omap/dispc.c=drivers/video/omap/dispc.h=
ARCH_OMAP4 :: arch/arm/mach-omap2/prm44xx.c=arch/arm/mach-omap2/prm44xx.h=arch/arm/mach-omap2/omap44xx-smc.S=arch/arm/mach-omap2/omap4-common.c=arch/arm/mach-omap2/mux44xx.c=arch/arm/mach-omap2/mux44xx.h=arch/arm/mach-omap2/opp4xxx_data.c=arch/arm/mach-omap2/pm44xx.c=arch/arm/mach-omap2/prcm.c=arch/arm/mach-omap2/cm2xxx_3xxx.c=arch/arm/mach-omap2/cm2xxx_3xxx.h=arch/arm/mach-omap2/cminst44xx.c=arch/arm/mach-omap2/cminst44xx.h=arch/arm/mach-omap2/cm44xx.c=arch/arm/mach-omap2/cm44xx.h=arch/arm/mach-omap2/prcm_mpu44xx.c=arch/arm/mach-omap2/prcm_mpu44xx.h=arch/arm/mach-omap2/prminst44xx.c=arch/arm/mach-omap2/prminst44xx.h=arch/arm/mach-omap2/vc44xx_data.c=arch/arm/mach-omap2/vp44xx_data.c=arch/arm/mach-omap2/voltagedomains44xx_data.c=arch/arm/mach-omap2/powerdomain44xx.c=arch/arm/mach-omap2/powerdomains44xx_data.c=arch/arm/mach-omap2/clockdomain.c=arch/arm/mach-omap2/clockdomain.h=arch/arm/mach-omap2/clockdomain44xx.c=arch/arm/mach-omap2/clockdomains44xx_data.c=arch/arm/mach-omap2/clock44xx_data.c=arch/arm/mach-omap2/dpll3xxx.c=arch/arm/mach-omap2/dpll44xx.c=arch/arm/mach-omap2/omap_hwmod_44xx_data.c=arch/arm/mach-omap2/omap_l3_noc.c=arch/arm/mach-omap2/omap_l3_noc.h=arch/arm/mach-omap2/hwspinlock.c=arch/arm/plat-omap/omap_device.c=
IMX_HAVE_PLATFORM_IMX_UART :: arch/arm/plat-mxc/devices/platform-imx-uart.c=
SOC_TX4927 :: arch/mips/pci/pci-tx4927.c=arch/mips/txx9/generic/mem_tx4927.c=arch/mips/txx9/generic/setup_tx4927.c=arch/mips/txx9/generic/irq_tx4927.c=
ETRAX_ARCH_V32 :: arch/cris/$(SARCH)/$(MACH)/=
EUROTECH_WDT :: drivers/watchdog/eurotechwdt.c=
REGULATOR_TWL4030 :: drivers/regulator/twl-regulator.c=
OMAP_DM_TIMER :: arch/arm/plat-omap/dmtimer.c=
M68060 :: arch/m68k/ifpsp060/=
PDC_STABLE :: drivers/parisc/pdc_stable.c=
XEN_BLKDEV_BACKEND :: xen-blkback/=drivers/block/xen-blkback/blkback.c=drivers/block/xen-blkback/xenbus.c=
SERIO_RAW :: drivers/input/serio/serio_raw.c=
MTD_NAND_PXA3xx :: drivers/mtd/nand/pxa3xx_nand.c=
MEMORY_HOTPLUG_SPARSE :: drivers/base/memory.c=
UML_NET_DAEMON :: arch/um/drivers/daemon_kern.c=arch/um/drivers/daemon_user.c=
HID_PID :: drivers/hid/usbhid/hid-pidff.c=
COMEDI_DAS6402 :: drivers/staging/comedi/drivers/das6402.c=
DEBUG_RODATA_TEST :: arch/x86/kernel/test_rodata.c=
USB_WHCI_HCD :: whci/=
CRYPTO_DEV_IXP4XX :: drivers/crypto/ixp4xx_crypto.c=
ARCH_CLPS711X :: 
VIDEO_CX25821_ALSA :: drivers/media/video/cx25821/cx25821-alsa.c=
HISAX_FRITZPCI :: drivers/isdn/hisax/avm_pci.c=drivers/isdn/hisax/isac.c=drivers/isdn/hisax/isac.h=drivers/isdn/hisax/arcofi.c=drivers/isdn/hisax/arcofi.h=
CRYPTO_USER_API :: crypto/af_alg.c=
ITCO_WDT :: drivers/watchdog/iTCO_wdt.c=drivers/watchdog/iTCO_vendor_support.c=
PM_GENERIC_DOMAINS :: drivers/base/power/domain.c=
COMEDI_ADL_PCI7230 :: drivers/staging/comedi/drivers/adl_pci7230.c=
BLK_DEV_ATIIXP :: drivers/ide/atiixp.c=
XTENSA_PLATFORM_XT2000 :: 
FT1000_PCMCIA :: ft1000-pcmcia/=
BOOKE_WDT :: drivers/watchdog/booke_wdt.c=
MFD_TPS65912_I2C :: drivers/mfd/tps65912-i2c.c=
INTC_MAPPING_DEBUG :: drivers/sh/intc/virq-debugfs.c=
LOGO_SUPERH_VGA16 :: drivers/video/logo/logo_superh_vga16.ppm=
HFSPLUS_FS :: fs/hfsplus/super.c=fs/hfsplus/options.c=fs/hfsplus/inode.c=fs/hfsplus/ioctl.c=fs/hfsplus/extents.c=fs/hfsplus/catalog.c=fs/hfsplus/dir.c=fs/hfsplus/btree.c=fs/hfsplus/bnode.c=fs/hfsplus/brec.c=fs/hfsplus/bfind.c=fs/hfsplus/tables.c=fs/hfsplus/unicode.c=fs/hfsplus/wrapper.c=fs/hfsplus/bitmap.c=fs/hfsplus/part_tbl.c=hfsplus/=
SND_PXA2XX_SOC_POODLE :: sound/soc/pxa/poodle.c=
X86_LOCAL_APIC :: arch/x86/kernel/apic/apic.c=arch/x86/kernel/apic/apic_noop.c=arch/x86/kernel/apic/ipi.c=arch/x86/kernel/cpu/perfctr-watchdog.c=arch/x86/kernel/cpu/perf_event_amd_ibs.c=arch/x86/oprofile/nmi_int.c=arch/x86/oprofile/op_model_amd.c=arch/x86/oprofile/op_model_ppro.c=arch/x86/oprofile/op_model_p4.c=
BLK_DEV_4DRIVES :: drivers/ide/ide-4drives.c=
MTD_QINFO_PROBE :: drivers/mtd/lpddr/qinfo_probe.c=
ETRAX_ARCH_V10 :: drivers/net/cris/eth_v10.c=
XVMALLOC :: zram/=drivers/staging/zram/xvmalloc.c=drivers/staging/zram/xvmalloc.h=
HYSDN_CAPI :: drivers/isdn/hysdn/hycapi.c=
